CRN,Cap,Act,Rem,Status
37369,25,--,0,CLOSED
37637,25,--,0,CLOSED
38076,25,18,7,OPEN
31457,28,--,0,CLOSED
32352,28,--,0,CLOSED
31455,28,--,0,CLOSED
37775,28,--,0,CLOSED
30175,28,--,0,CLOSED
37018,35,--,0,CLOSED
38550,35,--,0,CLOSED
30533,25,--,0,CLOSED
32823,25,--,0,CLOSED
31468,13,--,0,CLOSED
30464,18,--,0,CLOSED
30898,18,--,0,CLOSED
32155,18,--,0,CLOSED
32156,18,--,0,CLOSED
36807,17,--,0,CLOSED
37380,20,--,0,CLOSED
38018,20,0,20,Audition Required
38551,10,0,10,Audition Required
33403,10,--,0,CLOSED
31471,30,--,0,CLOSED
30679,15,--,0,CLOSED
38255,25,22,3,OPEN
38256,25,22,3,OPEN
31433,35,--,0,CLOSED
38374,35,--,0,CLOSED
38375,35,--,0,CLOSED
30410,16,--,0,CLOSED
31436,16,--,0,CLOSED
31437,16,--,0,CLOSED
38555,16,--,0,CLOSED
36083,12,--,0,CLOSED
38694,16,--,0,CLOSED
34420,12,--,0,CLOSED
37655,12,--,0,CLOSED
31438,12,--,0,CLOSED
38692,30,20,10,Restricted: Dual Enrollment
38693,30,20,10,Restricted: Dual Enrollment
37656,25,--,0,CLOSED
38379,30,--,0,CLOSED
37103,20,--,0,CLOSED
35769,20,--,0,CLOSED
37658,20,--,0,CLOSED
36397,25,--,0,CLOSED
38376,40,--,0,CLOSED
38377,40,--,0,CLOSED
38554,12,--,0,CLOSED
37931,10,--,0,CLOSED
35210,1,--,0,CLOSED
38084,1,0,1,Permission of Instructor
34673,1,--,0,CLOSED
38788,1,--,0,CLOSED
38384,16,--,0,CLOSED
37200,20,--,0,CLOSED
37201,20,--,0,CLOSED
38332,20,--,0,CLOSED
38526,20,--,0,CLOSED
37203,20,--,0,CLOSED
37206,20,--,0,CLOSED
38714,20,--,0,CLOSED
31486,20,--,0,CLOSED
31487,20,--,0,CLOSED
31488,20,--,0,CLOSED
38884,20,4,16,OPEN
